port_6,port_7,port_8,port_9,port_10,port_11,port_12,port_13,port_14,port_15,port_16,port_17,port_18,port_19,port_20,port_21,port_22,port_23,port_24,port_25,port_26,port_27,port_28,port_29,port_31,port_32,time,lap_#,event_label
-21.1655924528,-21.7322886792,-21.785709434,-20.9887903774,-17.6996509434,-19.565945283,-19.0487792453,-18.8240509434,-20.3332037736,-20.5878784906,-20.0274554717,-15.9073037736,-18.6367830189,-17.2781383019,-19.2727918868,-18.0255396226,-18.2997169811,-18.1775283019,-18.5524169811,-15.3273975472,-13.5084003774,-12.9698098113,-13.2515679245,-12.8416026415,-11.8332056604,-11.8203811321,2128.5,lap_10,event_7
-22.0186924528,-22.6631886792,-23.143509434,-21.5250303774,-18.5975509434,-20.078845283,-19.9492192453,-19.8521509434,-21.0486037736,-20.7713684906,-20.3824554717,-16.4042037736,-19.4878830189,-18.3479283019,-19.6217418868,-19.2585396226,-19.4024169811,-19.4325283019,-19.2778169811,-16.8796075472,-15.3668603774,-15.0669698113,-15.2851479245,-14.8431226415,-13.5108556604,-13.9865811321,2128.8,lap_10,event_7
-23.2130924528,-24.1526886792,-23.992509434,-23.3118603774,-19.8544509434,-21.617645283,-21.5681492453,-21.3951509434,-22.6583037736,-22.4196584906,-22.5104554717,-17.5638037736,-21.0198830189,-19.5961283019,-21.3634018868,-20.4915396226,-20.6889169811,-20.6875283019,-20.5472169811,-17.3969075472,-16.2115603774,-15.7122698113,-15.4542379245,-15.0098226415,-14.0141356604,-14.8196911321,2129.2,lap_10,event_7
-21.8480924528,-22.6631886792,-22.973909434,-21.8824003774,-18.7770509434,-20.420845283,-19.9492192453,-19.6811509434,-21.4063037736,-21.1383584906,-20.9144554717,-16.4042037736,-20.6793830189,-18.5262283019,-20.3186618868,-18.9065396226,-19.9538169811,-19.2532283019,-19.0964169811,-14.6361675472,-12.6636603774,-12.3237998113,-12.7428679245,-12.0066226415,-9.65230566038,-10.6539811321,2129.5,lap_10,event_7
-22.7011924528,-23.4079886792,-23.992509434,-22.5971603774,-19.3157509434,-20.933745283,-20.4894692453,-20.7091509434,-21.5852037736,-21.6874784906,-20.9144554717,-16.5699037736,-19.8282830189,-17.9913283019,-19.7963018868,-18.9065396226,-18.4835069811,-18.1775283019,-18.5524169811,-15.5002075472,-13.5084003774,-13.6150798113,-13.5907679245,-13.3426226415,-12.1687056604,-12.8201811321,2129.8,lap_10,event_7
-22.8717924528,-23.7802886792,-24.161509434,-23.6692603774,-20.0339509434,-21.788545283,-21.7477592453,-21.7381509434,-22.4794037736,-22.6026584906,-22.6874554717,-17.8951037736,-20.8496830189,-19.4178283019,-21.3634018868,-20.4915396226,-20.5051169811,-19.6118283019,-20.0031169811,-15.8450675472,-14.3531603774,-13.6150798113,-13.4211679245,-13.5096226415,-11.8332056604,-12.8201811321,2130.1,lap_10,event_7
-23.7248924528,-24.8973886792,-24.840509434,-23.6692603774,-20.3931509434,-22.130545283,-21.9273792453,-21.7381509434,-23.0160037736,-23.3348584906,-22.5104554717,-18.0607037736,-21.0198830189,-20.3093283019,-21.8857018868,-21.1965396226,-21.2403169811,-21.0461283019,-21.2725169811,-17.9142075472,-16.3804603774,-15.8735698113,-16.4687679245,-15.8432226415,-14.5170956604,-15.4855011321,2130.4,lap_10,event_7
-23.3836924528,-24.5249886792,-24.331509434,-23.4905603774,-20.0339509434,-21.617645283,-21.0292992453,-20.8811509434,-22.4794037736,-22.2365584906,-21.9784554717,-18.2264037736,-21.3602830189,-19.9527283019,-21.8857018868,-21.0205396226,-21.9754169811,-21.0461283019,-21.0912169811,-17.3969075472,-16.0425603774,-15.5508698113,-15.9615679245,-15.3432226415,-14.3494956604,-15.4855011321,2130.8,lap_10,event_8
-23.7248924528,-24.1526886792,-24.671509434,-22.7758603774,-19.3157509434,-20.762745283,-20.4894692453,-20.1951509434,-21.2275037736,-21.1383584906,-20.9144554717,-16.7355037736,-19.8282830189,-18.8829283019,-20.3186618868,-19.4345396226,-19.2186469811,-19.2532283019,-19.2778169811,-14.1177075472,-11.4789603774,-11.1920698113,-11.2166679245,-11.0045226415,-8.81340566038,-9.32098113208,2131.1,lap_10,event_8
-23.7248924528,-25.0835886792,-25.519509434,-24.0266603774,-20.3931509434,-21.959545283,-22.1069792453,-21.7381509434,-22.6583037736,-22.9687584906,-23.0424554717,-18.0607037736,-21.3602830189,-19.5961283019,-21.3634018868,-20.8445396226,-20.6889169811,-19.9704283019,-20.0031169811,-14.6361675472,-14.0152603774,-13.1311298113,-13.4211679245,-12.3406226415,-11.1621056604,-11.8203811321,2131.4,lap_10,event_8
